merk_mobil,model_mobil,tahun_produksi,bahan_bakar,jarak_tempuh,transmisi,harga,lokasi,wilayah,kapasitas_mesin
bmw,x3,2019,Bensin,52.5,Automatic,656000000,Jatinegara, Jakarta Timur,1.25
bmw,x3,2021,Bensin,7.5,Automatic,656000000,Kelapa Gading, Jakarta Utara,1.75
bmw,x3,2019,Bensin,52.5,Automatic,656000000,Jatinegara, Jakarta Timur,1.75
bmw,x5,2019,Bensin,37.5,Automatic,670000000,Kebayoran Baru, Jakarta Selatan,1.75
bmw,320i,2021,Bensin,2.5,Automatic,695000000,Pancoran, Jakarta Selatan,2.5
bmw,x3,2019,Bensin,12.5,Automatic,709000000,Mampang Prapatan, Jakarta Selatan,1.75
bmw,ix,2023,Bensin,7.5,Automatic,719000000,Cilandak, Jakarta Selatan,1.75
bmw,330i,2022,Bensin,32.5,Automatic,725000000,Bekasi Barat, Bekasi Kota,2.5
bmw,330i,2019,Bensin,27.5,Automatic,725000000,Sukmajaya, Depok Kota,1.75
bmw,x1,2022,Bensin,17.5,Automatic,725000000,Kebayoran Baru, Jakarta Selatan,1.75
bmw,330i,2021,Bensin,17.5,Automatic,740000000,Cilandak, Jakarta Selatan,2.5
bmw,330i,2022,Bensin,17.5,Automatic,741000000,Bekasi Barat, Bekasi Kota,1.75
bmw,330i,2022,Bensin,17.5,Automatic,741000000,Bekasi Barat, Bekasi Kota,1.75
bmw,330i,2022,Bensin,12.5,Automatic,741000000,Kebayoran Lama, Jakarta Selatan,1.75
bmw,440i,2017,Bensin,52.5,Automatic,741000000,Cilandak, Jakarta Selatan,1.75
bmw,x3,2021,Bensin,22.5,Automatic,780000000,Mampang Prapatan, Jakarta Selatan,1.75
bmw,520i,2020,Bensin,52.5,Automatic,790000000,Cilandak, Jakarta Selatan,1.75
bmw,520i,2020,Bensin,52.5,Automatic,790000000,Cilandak, Jakarta Selatan,1.75
bmw,x3,2022,Bensin,2.5,Automatic,800000000,Kebayoran Baru, Jakarta Selatan,1.75
bmw,520i,2022,Bensin,12.5,Automatic,850000000,Pancoran, Jakarta Selatan,2.5
bmw,320i,2024,Bensin,7.5,Automatic,869000000,Pancoran, Jakarta Selatan,2.5
bmw,m2 coupe,2017,Bensin,7.5,Automatic,975000000,Kebayoran Baru, Jakarta Selatan,1.75
bmw,m4,2015,Bensin,22.5,Automatic,1300000000,Kebayoran Lama, Jakarta Selatan,1.75
bmw,m4,2015,Bensin,22.5,Automatic,1300000000,Cilandak, Jakarta Selatan,1.75
bmw,m4,2015,Bensin,22.5,Automatic,1300000000,Cilandak, Jakarta Selatan,1.75
